Team,Game_Wins,Home_Games_Played,Away_Games_Played,Total_Games_Played,Sets_Won,Sets_Lost,Points_Won,Points_Lost
ZAKSA Kędzierzyn-Koźle,324,228,217,445,1107,573,27843.0,25433.0
PGE Skra Bełchatów,321,224,211,435,1095,570,27994.0,24220.0
Asseco Resovia,290,219,212,431,1002,624,26921.0,24745.0
Jastrzębski Węgiel,286,220,219,439,1011,692,27754.0,26239.0
Projekt Warszawa,194,199,208,407,768,819,25230.0,25062.0
AZS Olsztyn,172,199,197,396,699,825,24181.0,24953.0
Trefl Gdańsk,171,167,170,337,629,645,20501.0,20331.0
Chemik Bydgoszcz,129,158,160,318,534,678,18887.0,20350.0
Cuprum Lubin,110,115,119,234,434,472,14439.0,14751.0
Czarni Radom,108,130,134,264,442,550,15747.0,16059.0
Warta Zawiercie,91,77,79,156,328,277,9830.0,9890.0
AZS Częstochowa,83,122,128,250,379,588,14703.0,15795.0
GKS Katowice,74,86,87,173,295,373,10424.0,10875.0
Społem Kielce,71,116,119,235,327,567,13627.0,14954.0
MKS Będzin,44,88,90,178,226,445,10046.0,11145.0
BBTS Bielsko-Biała,35,85,85,170,189,447,9310.0,10766.0
Ślepsk Malow Suwałki,32,41,42,83,137,176,4971.0,5347.0
Stal Nysa,26,42,38,80,127,177,4750.0,4958.0
LUK  Lublin,22,27,27,54,89,123,3294.0,3531.0
Stocznia Szczecin,19,32,32,64,96,157,3806.0,4264.0
Jadar Radom,17,24,22,46,66,103,2609.0,2703.0
Pamapol Wielton Wieluń,14,27,29,56,71,139,3119.0,3412.0
Barkom Każany Lwów,6,13,14,27,35,66,1481.0,1684.0
